Tweet,Label
he should tell them that his sister fixed it,Not Suicide post
"Something weird in that I couldn't stop thinking about him, couldn't sleep. Then out of some old papers a card I di¦",Potential Suicide post
"Congratulations, John! I'm a creepy actor, not a sweet actor",Not Suicide post
He he! Thanks,Not Suicide post
in the photoshop,Not Suicide post
normal workday for me. I do still have plans/aspirations to submit some info for the miz mag - honest i do.,Not Suicide post
Easy way is to go to MBK and get it hacked.  got a CN rom on his TH phone...,Not Suicide post
",,And I just dont want to fucking be here anymore. Please someone just fucking end me because I know itll be worse for everyone if I do it myself and fuck do I want to but please please someone just kill me please",Potential Suicide post
i'm tired,Not Suicide post
My Cullen family jewellery set arrived this morning! So happy!,Not Suicide post
Getting ready to take kids to the farm,Not Suicide post
"These boys might find it shocking that some internet stranger like myself would sayfuck these guys""¦""",Potential Suicide post
I ate candy cigarettes but I didn't eat the wax once I drank the coke. I did however eat the candy lips.,Not Suicide post
I damn near hate smoking by myself but sometimes I like it cause I cant finish blunts and I be having some for later.,Potential Suicide post
is going to get some cereallllllll will be living off Lucky Charms next week! WOOPWOOP!,Not Suicide post
"&quot;tagged as: punk, punk rock, pop punk, new york, more people should listen to this band &quot;",Not Suicide post
It's a great time in life! We can help you design an amazing wedding.,Not Suicide post
Wow! Wow! Good to hear,Not Suicide post
feeling overwhelmed and wanting to die i tried to kill myself today all i wanted was my boyfriend to help me somehow since he sees me on this depression spiral but all he says is it will get better i know it will but currently i feel trapped in my own home i have no friends and i constantly feel weak or unmotivated i have no desire to have sex with my partner and tend to find the worst in him lately i love him but some things he does amplifies my depression i dont want to die but when i get hurt lonely or overwhelmed the one thought i cant shake is killing myself,Potential Suicide post
Asking everyone to send out happy 'head-first' vibes to,Not Suicide post
And waiting for sunrise in spring with an amazing colors,Not Suicide post
"_Twitster Good so far thanks, hope yours will treat you well too",Not Suicide post
ok then might not be for a while though?,Not Suicide post
"Its only the 12th and I have completed 75% of my selling goal, IM HAPPY ð",Not Suicide post
"but still,i highkey want him to be dead. He f killed peach and beck ugh.Candice is back so imma just¦",Potential Suicide post
- take care guys..!!,Not Suicide post
My whole family is so damn beautiful and Im the start of the ugly generation of it and I just hate myself so much I cant even express it,Potential Suicide post
"My co-workers are my guinea pigs. Lucky for them, I'm testing recipes from my Ultimate Cookie cook book.",Not Suicide post
"Damn, i hate myself",Potential Suicide post
No I want him to get indicted &amp; watch the kids go to jail - I dont want him to die because the Trump¦,Potential Suicide post
ok legit question can I fucking kill myself I'm 100% done with life,Potential Suicide post
How's the ski jumping going? Have you beat the missus yet?,Not Suicide post
I Hope I Fucken Change Cause Damn Do I Hate Myself!!!!!!!!,Potential Suicide post
Really good and helpful about the various Crisis in the DC Universe - I have read them all,Not Suicide post
Nothing to live for? Why? Because you have been nasty?,Potential Suicide post
had a lovely night with the best boyfriend and two very good friends,Not Suicide post
my girlfriend left me i hate college i have no direction in life i just want to go to sleep and never wake up ive been thinking about suicide a lot recently and different methods the only reason i havent done it so far is because i am too much of a pussy i have access to enough drugs to overdose on i live near plenty of tall buildings i am seeing a therapist and psychiatrist all the pills they ve given me have only exacerbated my symptoms i dont care about leaving everything behind because i dont want to hurt the people around me but why should i go on living my shit life just so others arent inconvenienced one of these days i ll be drunk enough to finally pull the trigger figuratively literally,Potential Suicide post
you dont have to bring anything - it's yr place,Not Suicide post
Rosie: does he think Im gonna be single forever?,Potential Suicide post
Chick-Fil-A = bonus.,Not Suicide post
yeah 16kg is around 40lbs Glad you liked the interview I did with Steve Cotter; Quigong is sucha valuable part of any training,Not Suicide post
What do you want to know about MODx cms? Maybe I can help you,Not Suicide post
"i'm home from school, yay! wasn't that bad actually, and i had a nice dinner with graceeeeee.",Not Suicide post
"im hoping my stress level will go down when my aunt is gone... i cant relax, am exhausted, and can't focus on a dam¦",Potential Suicide post
a friend i knew online from last night finally added me up on his messenger.,Not Suicide post
I jst sneezed twice. Me thinks there's at least one ghost in my house now.,Not Suicide post
Thanks Wani,Not Suicide post
Haha Get all your Stress out x,Not Suicide post
_nanu_ just added a little more grist to the mill,Not Suicide post
"_dyer  You want every vote counted no matter if the voter is dead, move to a different precinct, ou¦",Potential Suicide post
our barefoot range is a great alternative when you need to wear shoes. they allow you foot move as though it were barefoot,Not Suicide post
there are no perks of being this ugly i deserve an award or something at least if im gonna die alone,Potential Suicide post
RT : Random commenter asked why I had such an extreme social warrior agenda in Magnus Chase. What he calls extreme social jus¦,Potential Suicide post
It's Tuesday...at work...still riding the high from the workout last night. It should be a good day!,Not Suicide post
So sad that I can't protect these cats and I don't know whats ever bothering them. I don't know why this stuff has¦,Potential Suicide post
Never been to war but I get terrible nightmares that wake me up fighting for my life.,Potential Suicide post
Cool  ;_),Not Suicide post
ok that dinner rocked,Not Suicide post
stuck every time i try and kill myself i cant go through with it but i cant keep living feeling this way why cant i just let myself die,Potential Suicide post
Damn .. I hate when I type so fast and the autocorrect changes go unnoticed ..smh at myself ð¤¦ð½âï¸,Potential Suicide post
RT : //shes doing her best,Not Suicide post
_bobbles  live your best life,Not Suicide post
All I want is the truth.,Not Suicide post
We are not fussy about age here as long as females are between 18-25 . I changed the rules. lol,Not Suicide post
Im just gonna go ahead and kill myself. Already done for the fucking day.,Potential Suicide post
i cannot wait for my mum to fucking die all i wait is for her to die then i am going to lie under the train that very day and foolow suiti cannot wait i would kill her to be able to kill myself sooner but we are two in a very intimate relationship in short i can not kill her guns are forbiden in my country i have got only a knife or a brick to do it and so i cant do it it s very bloody and slow method cannot do anything my tonsils stink i hate human stench in all forms except dashas shits i hate my body hate arteries these nose and lips and saliva and eyes and all i hate human body except dashas one i want to fuck and to be with my dasha,Potential Suicide post
"tania, i think you should get athene and the rest of the crew on twitter",Not Suicide post
n i got yr pic posing in the server room ..,Not Suicide post
Bye bye!! Going to sleep!! (finally!!) XDDDD :-D :-P,Not Suicide post
Working on a film. Have been busy. Have a nice day everyone,Not Suicide post
i want to die where can i go to commit suicide give me an injection as i am unconconscious and end my nightmare life i want to die,Potential Suicide post
I want to play with it.,Not Suicide post
Thanks to everyone who's sent me work this year... You'll pleased to know I've just planted 85 trees in India with some of the profits x,Not Suicide post
this is my notice of me giving up on life n becoming an alcoholic bc i'm miserable n want to die farewell ill be drunk,Potential Suicide post
New iPhone is completely updated Sun shining in Derry - tis a pretty day,Not Suicide post
I want to be a doctor.,Not Suicide post
"Cash in the Attic is OK, I prefer Homes Under the Hammer, haha I do love being off school...",Not Suicide post
Ill ride for my dawgs any day but at the end of the day. I already know where the streets can take you &amp; I what hap¦,Potential Suicide post
i want her,Not Suicide post
"Well compared to other areas west of us, I'll take our 50 degrees and run with it",Not Suicide post
"aw, I am so jealous! ) please, take me with you",Not Suicide post
",Blaine, MN,I dont want to be here anymore.",Potential Suicide post
"Scared of death, tired of living.",Potential Suicide post
"  ""Take it all back was so fun""",Not Suicide post
Ive had enough of life and the pain it causes,Potential Suicide post
Omg the cringe I cant,Potential Suicide post
i love your shh tattoo - did it hurt? i think i'm gonna get it,Not Suicide post
",,RT : i literally cant explain everything so much has happened i dont wanna be here anymore. wtf is even the point. i literally¦",Potential Suicide post
i want him,Not Suicide post
had a juice box this morning. You never know the joy a juice box can bring until you have one later on in life.,Not Suicide post
She didn't want him to go out with other women,Not Suicide post
you're welcome! It was a great way to be introduced to your music,Not Suicide post
awesome!! Can't wait to see it!!,Not Suicide post
My heart is so crushed.,Potential Suicide post
ooo apple store is down ... so close? Credit card ready,Not Suicide post
youve changed for the fucking worse. i cant believe that you could really go back on all ur hard work like that,Potential Suicide post
"Not just because the House has NEVER had a Black woman in leadership, but because¦",Not Suicide post
hey Golden is here with me and just wanted to say Hi and have a great morning,Not Suicide post
Goooooood morning Twitter-World!,Not Suicide post
a revolution in household detergent introducing get one now while stocks last,Not Suicide post
everything that youve ever dreamed of,Potential Suicide post
congrats!!!!! Ill def go and support the TC Media takeover,Not Suicide post
Going to bed goodnightttttt!,Not Suicide post
Going to school and enjoying my last day as a 16 year old but too,Not Suicide post
Hmmm...not good...carrot juice and marmalade on toast may help?,Not Suicide post
Im tired and sick of everything I wanna die ...,Potential Suicide post
RT : No one has had more of an impact on my career and everything we do at Marvel Studios than Stan Lee. Stan leaves an extr¦,Not Suicide post
"9 months ago my grandmother passed away, 8 months ago I got my heart completely broken, 7 months ago I almost attem¦",Potential Suicide post
_groyper Really tired of everything. It's all just so lame and gay. Nothing serious us ever going to happen an¦,Potential Suicide post
trying to figure out how this works!,Not Suicide post
My life is miserable,Potential Suicide post
Positive Mental Attitude - Today can't be as bad as yesterday.,Not Suicide post
good morning all,Not Suicide post
YaY!! Just found out Amy is having a Girl!! LiL Bonita!! Im so excited..now I can go by little girly things for the babes,Not Suicide post
I am constantly amazed by our technology. It makes me wonder. Now check out this rad song! &quot;Tripping&quot; ?,Not Suicide post
Damn I fucking HATE myself,Potential Suicide post
snuggling in bed with my little baby....ahhhh!,Not Suicide post
mhm up. ohh early for me!- &amp; i feel like whatching Open arms again [by gary go],Not Suicide post
" ""isn't the best Twitter client for me. It's the simplicity and all-in-1 that makes me love it""",Not Suicide post
"_er AHHHH yeah i was, but their updates were boring me so &quot;unfollowed&quot; them. you'll have to win and take me on holiday",Not Suicide post
"Could be - mine grew out, down my back and then all fell off",Not Suicide post
RT :   what a fun day !,Not Suicide post
"Vou ler! ATD foi uma maratona.. Let's just say I'm glad it's over, lol.",Not Suicide post
"laughter is indeed the best medicine! whatever ur situation today,find a reason 2 smile wholeheartedly! God is good,faithful&amp;loves u &lt;3",Not Suicide post
"They want people like me dead. They don't want to help me. If I was in Canada, Israel or Germany I wo¦",Potential Suicide post
enjoyed the N-Dubz gig last night - and it finished early which is always a bonus,Not Suicide post
i think its tonight because i dont care and i have nothing left i dont care i had something so great so promising and they stripped it down past the bone into splinters then pissed on the splinters i dont want happiness i dont want dreams i dont care that if i post a note everyone will desperately try to stop me i know they ll care when i am about to die or dead i am numb i am no longer scared and the hurt is too much i gotta go i have nothing left i had a lot of love to give but its gone with me i just wanted someone to hear me before the end,Potential Suicide post
RT : Never get too attach cause  people wake up with  different feelings everyday.,Potential Suicide post
do you ever feel empty and you had to pick a number from 15 depending how you feel about it i could write my funeral speech now but what is the point in afew years i would be forgotten anyway,Potential Suicide post
They don't do them in my size How r u?,Not Suicide post
"It snowed! Okay, there's not enough to build Frosty, but it snowed. As long as it's cold, it might as well snow...Enjoy your day",Not Suicide post
"YALL im sad cause I keep seeing tweets about invisible and the fact that it was a suicide note, and like I already¦",Potential Suicide post
RT : i hate feeling the way i do,Potential Suicide post
glad to see spring making a comeback in Denver today!,Not Suicide post
hello!! g'mrng!! wuzup?!? hows twitterville while i was sleeping? evrythings cool?,Not Suicide post
"_bell nah, I think going sideways is best, really helps when dodging bullets",Not Suicide post
Im so done with today like I just want to fucking kill myself,Potential Suicide post
If you have any questions feel free to email us at sales.co.uk or send a DM on Twitter,Not Suicide post
"Its been nearly three years, but I still feel that Kylo/Ben Solo doesnt deserve redemption. The man killed his ow¦",Potential Suicide post
"All right so that's 200 for slytherin, 590 for hufflepuff and 520 for ravenclaw. Sadly I'll have to cut these sprin¦",Potential Suicide post
ba't ko kinakaawaan sarili ko at iniisip na yung iba naiisip din ako? damn! hate myself. It's just me. ð¤¦,Potential Suicide post
Hey there! Sent you a DM.,Not Suicide post
You make the milk look REALLY good in your pictures,Not Suicide post
" ""- Totally love this pic! Are you singing it in Finnish?""",Not Suicide post
",Not Suicide post""",
"Ooh, that's lovely",Not Suicide post
", you will fully bloom after all the hardships. i love u ):",Not Suicide post
"Aw I'm so sorry, try not to let it get to you too much, they obviously didn't deserve you in the first p¦",Potential Suicide post
Showcase Quick  VIP romm on Thursday,Not Suicide post
is that me? tony price is on here too as is fab,Not Suicide post
Hey Mariedees! Welcome to our Twitter feed! G'mornin' to ya!,Not Suicide post
wow that was an experience you don't need to see repeated again glad he is ok.,Not Suicide post
embedding a google calendar into a site is actually seriously easy,Not Suicide post
I die a little inside when I see an old person eating alone at a restaurant.,Potential Suicide post
I hate repeating myself dawg. like damn.,Potential Suicide post
running out of option it physically hurts to breathe i have no dream or goal or ambition or motivation i am tried of it all i have been to hospital er psyche ward therapist difference medications my girlfriend the only person i really loved who wasnt family wants to just go do drugs and drink or whatever the fuck leaving me here with nothing so i cant at least just talk to her any more about how i feel it hurts it hurts so much so much pain and why i dont know why was i born to suffer like this if god is real he wants me dead and i do too,Potential Suicide post
1300 words...,Not Suicide post
"__TheRealSkp,Barcelona, Spain,RT _: Even though WE DONT WANT too, we know that we have too believe that youre not here anymore and we know that we have to be st¦",Potential Suicide post
that is so cool...good to hear...thanks for sharing!,Not Suicide post
debuted on this week's Billboard Social 50 at !,Not Suicide post
Let me hate myself god fucking damn it,Potential Suicide post
"  ""it is going to be sunny and 11 Celcius Friday and sunny and 15 Saturday sweet""",Not Suicide post
I second to that Ian - thank you,Not Suicide post
In reality social media dont care about a mans mental health or dont want to speak on it until hes dead lets be real,Potential Suicide post
Not everything is gold.,Not Suicide post
Became as hot as the persistent days resting heavily on tired flowers,Potential Suicide post
" ""We used to have one. But keeping a live wild animal in a cage surrounded by screaming drunk¦""",Potential Suicide post
IM SO TIRED OF EVERYTHING CAN I DIE,Potential Suicide post
still listening to some great music I got yesterday. amber pacific is awesome!!,Not Suicide post
Going to day care! Get to see hannah! This should be a good day. I hope so anyway.,Not Suicide post
I almost feel bad for my next post. Almost.,Not Suicide post
Thanks. It's certainly better than it was midday yesterday. At one point I was walking around like Kryten from Red Dwarf.,Not Suicide post
welcome to the &quot;twittersphere&quot;! (i like your name for it it's fun but can get super addicting,Not Suicide post
How did you know?? I LOVE it!,Not Suicide post
every day just brings me closer to death i am 21 years old working student i want to kill myself life is unbearable i have no skills not talents and i am absolutely boring person so i spend most of my free time alone i really want to find a girlfriend but i see no way how could i find one when i am useless like this i used to go away from sadness by listening to music but these days i am bored of music and just want to go to sleep and never wake up,Potential Suicide post
"can i have yours? clouds have come in, i fear i may be too late to enjoy the weather",Not Suicide post
That is great to hear!! Thanks Chip!,Not Suicide post
RT : Completely devestated by the fires affecting my community. I am one of the lucky ones. My animals and LOVE OF MY LIFE made¦,Not Suicide post
ah.... 90's pop was so good,Not Suicide post
I'm leaving the laptop at home. I'll put up with tweetie. I can get DMs on gmail. New friends can always send me their email addy,Not Suicide post
/thank god for . Slept in and he took Ava to daycare.,Not Suicide post
i dont know why i keep trying my home life has always been incredibly toxic and my parents have always been a major contributor to my depression and anxiety i just feel like a worthless individual i dont have a job and i am not doing anything and i have no motivation to even leave the house let alone my bed all my life shit like this has continued to happen to me and sometimes i look at all the pills i have to take and consider just shoving a handful in my mouth and ending it all but most of the time i just lie in my bed and wish i could die without actually having to kill myself because i am a coward i am so tired of hearing that things are gonna get better,Potential Suicide post
Amazing night and great day...I LOVE my Heels!!!,Not Suicide post
"Tired of living life with the fear of not being liked. So for now on, FUCK IT Im really livin now people!!!!!",Potential Suicide post
jami: probably drunk driver coming onto on-coming traffic,Potential Suicide post
RT _chang: Me knowing damn well that I will hate myself for taking a 7:30 but doing it anyways,Potential Suicide post
"I'm out of all my fucking meds bc my family thought it was the best to do since I got sick, tired and sl¦",Potential Suicide post
RT : Never been to war but I get terrible nightmares that wake me up fighting for my life.,Potential Suicide post
What's Twitter? OH!! This is Twitter. Yea... My poor little birdie! No! Here comes the FAIL WHALE!!,Not Suicide post
"Im gonna fucking die, im tired of investing everything into a person and then have them throw it out. I am not made¦",Potential Suicide post
YO sometimes Im just tired of living.,Potential Suicide post
RT : Congratulations to  OL Anthony Vereen for being named GPAC Football First Team Offense 2018! ¦,Not Suicide post
Aspiring to be as happy as  in every aspect of life,Not Suicide post
RT : I used to check the Forbes 30 Under 30 list every year to see if I could find a husband on it.,Potential Suicide post
_tbritttsays *que screamo voice* SO CUT MY WRIST AND BLACK MY EYES,Potential Suicide post
so i need to work on this project and people count on me but i do fucking nothing because i think it's¦,Potential Suicide post
You hear this ? Together we could start some sort of terrible business that pays nothing and sucks our wi¦,Potential Suicide post
"RT : If you find someone that makes you happy, enjoy it... life is not fair nor give many opportunities...",Not Suicide post
"debbs, PW is up on MSE! Congrats!",Not Suicide post
",,My sister ruined the night before it even started I dont even want to be here anymore",Potential Suicide post
"RT _22: I quit, I keep grinding but still fucking suck. I no life something and I still fucking suck. Im never gonna get into  ¦",Potential Suicide post
i cant take this anymore might as well end this sorry as life,Potential Suicide post
I wanna kill myself like not literally but mentally and emotionally,Potential Suicide post
",co '19 ð¬ð¹,i dont want to be here anymore i done ruined a good thing",Potential Suicide post
"trying out Spaz for Twitter posts. love my DestroyTwitter, but it's easier to read Spaz!",Not Suicide post
We wouldn't want them to think we were doing anything immoral.,Not Suicide post
A tweet tweet here and a tweet tweet there! Goodniiiight!!,Not Suicide post
",,Just checked out that Homerun Derby EP, it SLAPS ",Potential Suicide post
Everything,Not Suicide post
obey the last fm algorithm. maybe it would turn out you really do like scooter if you gave him a chance,Not Suicide post
Haha I wish I was. Im tired of living here. I wanna go down south,Potential Suicide post
So true- nothing induces madness like trying to figure out why ppl do what they do Hope today with yr little one is wonderful x,Not Suicide post
but HA! Internet Explorer is being nice to me Mozilla Firefox is mean.,Not Suicide post
Tired of kickin you bitches out the house ð bout ready to go to sleep and wake up to the same ting forever.,Potential Suicide post
RT : ive said it before and ill say it again...waluigi sucks...he sounds and looks funny and thats it...theres nothing else t¦,Potential Suicide post
"RT : A year after the devastating earthquake in this city, this young mother says she &amp; her family still don't have shelter¦",Potential Suicide post
heh heh dirty is always good gurl! I like how you think,Not Suicide post
gettin off the internet... gonna finish my hair,Not Suicide post
after failing once this is how i feel i wish that suicide was funded by the government i wish guns for suicide would be like condoms given to teens so if they are going to do it they do it right i wish euthansia was legal i wish that i wouldnt have to fear buying poison or a gun off the black market because if i get caught my life would get worse,Potential Suicide post
Morning! I have slacked for two days in twittering! But here I am again. Just finished a good run Ready to start a new day.,Not Suicide post
i am looking for someone to talk to all i want to do is die,Potential Suicide post
"I dont hate the player I hate the game, Jess Glynne is probably an awesome person but I will kill myself or someon¦",Potential Suicide post
I am loving what I just read about . Love it!,Not Suicide post
"Just watched Chuck, going out with Mel soon",Not Suicide post
oh! thank you!! I'm just glad to not be shutting stuff across the street anymore.. it's a little slower w/ the unpacking tho!,Not Suicide post
"Same to you, Sue!",Not Suicide post
"_Tide,England,Yeah no i dont want to be here anymore it hurts too much and im struggling too much",Potential Suicide post
"I want to read P. D. James's THE CHILDREN OF MEN, though - interesting premise. Yay for futuristics!",Not Suicide post
i am worried i might lose it tomorrow i cant really tell anyone for fear of worrying them i will be one year and eleven months clean and sober tomorrow i am going to be off my methadone maintenance program in two weeks i am going to walk home from the court pack all my things and clean my apartment and say my goodbyes its just too much i am really hoping it doesnt come to that i hope so fucking much i dont want to kill myself i dont want to do that to anyone i am not strong enough to start over again my chest feels like its going to explode with anxiety i feel like i am going to break down crying in front of the judge tomorrow practically pleading for my life,Potential Suicide post
Realizing that I will not get a surprise certified letter stating that I am the sole heir of a wealthy family's inh¦,Not Suicide post
What about Blur - Song ???,Not Suicide post
_V morning,Not Suicide post
tired of waking up. tired of wanting to die. tired of everything.,Potential Suicide post
me: *sees a car crash* i wonder how they crashed,Potential Suicide post
i just want to sleep so much has gone wrong in these 20 years and its still getting worse i can not change most of what is going on around me but it will invariably affect me i dont want to give it the chance so if i go and sleep and dont wake up i wont have to deal with it,Potential Suicide post
"i'm always cheerful when it's sunny at ATL, means I'll get the heck away on time",Not Suicide post
Just booked  and I in for 4D baby scan tomorrow - very exciting - can't wait to see our little girl,Not Suicide post
Liter spent so much money tonight and literally one of the worst nights in a looo g time literally about to straigh¦,Potential Suicide post
RT : _M Girl I wanna look this good when I'm pregnant lol. Congratulations beautiful! I hope it's a girl so she can be like u,Not Suicide post
" I'm a size 5, but I have to wear orthotics in my footwear if I'm attempting to walk so I can get away with a 6",Not Suicide post
now my heart wants to die too i ve been struggling with depression trauma and suicidal thoughts for years but honestly things havent been as painful as they are now i am here sitting alone and alienated confused depressed miserable helpless and alone and honestly at this point i just hate life,Potential Suicide post
Wasn't the Miami valley already frozen? It's WINTER!,Not Suicide post
"Im actually tired of this!!! Its like living in a home where the troubled, deceitful child always wi¦",Potential Suicide post
RT : I dont want them to come for my account. Literally the only thing keeping me through the miserable existence that is¦,Potential Suicide post
He is good! He's down in Florida for MTS. He graduates in late April...He really happy about this,Not Suicide post
"i've been at school since yesterday ! GOOD MORNING DEMI LOVATO , im a fan from canada !",Not Suicide post
We were approved for a cute townhome so much closer to work! I'm so excited!,Not Suicide post
"This is correct. I, for one, absolutely do not want to live in a country with these fucking chuds. And I believe 25¦",Potential Suicide post
I wish I still had my Simpsons shower radio.,Not Suicide post
I love everyone else while I hate myself,Potential Suicide post
Tired of living like this,Potential Suicide post
dude i am SO jealous! goin to buy some on thurs,Not Suicide post
WELCOME TWEET&lt;3 LETS GET THIS!!!!!!!!!!!!,Not Suicide post
_  Thats not how it works and if you truly believe this then I feel sorry for you. We do¦,Potential Suicide post
"Happy Birthday, eat something good",Not Suicide post
...it will only get worse come winter. The Chai at the Goldfish Bowl is the best out!,Not Suicide post
RT : I love to see Palestinians dancing and having fun. Good &amp;positive stories deserve to go viral as well.,Not Suicide post
",Potential Suicide post""",
"Ever feel like everyone's better off without you, because me fucking too.",Potential Suicide post
"_03 nope, ahm.. preps for props",Not Suicide post
recorded what?,Not Suicide post
what about twittering your task,Not Suicide post
--&gt;  in June (28) in Portugal!! I don't know... should I go? Or is just another catching song?!?,Not Suicide post
i want to be a painter,Not Suicide post
"My Cowley Road E.P. has been re-released on itunes! If you don't have it, get it!",Not Suicide post
HOW DID I JUST GIVE UP ON SLEEPING IM NOT EVEN TRYING ANYMORE I HATE MYSELF DAMN,Potential Suicide post
how's it cooking? looking forward to having a taste later.,Not Suicide post
"200 words over with still more to write, lame. burritos for tea",Not Suicide post
phone againn,Not Suicide post
"RT : On This Day - November 12th 1976. Queen release single, Somebody to Love.",Potential Suicide post
Its fucking cold ð© i hate working at 4 Am tf did i sign up for ð­why did i do this to myself damn it,Potential Suicide post
About time! You should always listen to your wise friend Kate. She's the coolest!,Not Suicide post
"RT :'I dont want to die. But, you know, nothing is for certain. And Im tired of keeping quiet.' ¦",Potential Suicide post
One month from today we'll be on that plane headin' for NY!!,Not Suicide post
",,RT : i just dont want to be here anymore",Potential Suicide post
"www.youtube.com/Titomi15..WATCH THE VIDEOS,COMMENT&amp;SUSCRIBE!! &amp; FOLLOW me , Cheers x",Not Suicide post
- Iowa No. 2 in happy! Yea!,Not Suicide post
Damn really hate myself rn,Potential Suicide post
Oh sorry would have replied earlier BUT was flickin thru my wonderful new book of ideas,Not Suicide post
"RT : I wanna let it be known that if any of my homies ever, in your life feel like yall alone or just tired of living. Im a tex¦",Potential Suicide post
hey! doing well - looking forward to meeting up with you and  in DC!,Not Suicide post
",,im done trying to be happy. it never helped and it never got approved by my parents. meaning i have to stop all of what makes me happy. and honestly, i dont want to try anymore. im just going to sit here and fail, and keep failing until one day, when death finally falls upon me.",Potential Suicide post
"tr.im are doing it with Nambu, bit.ly are doing it with Tweetdeck",Not Suicide post
Being a single mommy was never part of the plan but I wake up everyday and do my shitðªð¾,Potential Suicide post
has only been awake two hours but would like to go back to sleep,Not Suicide post
